"V1" "V2"
"1" "Aabenraa" "1.77077844252249e-05"
"2" "Aalborg" "5.73023960364072e-05"
"3" "Aalborg Portland" "0.000245051449787703"
"4" "Aalesund" "9.18567243036739e-05"
"5" "Aarhus" "0.0018459798340108"
"6" "Abbot Point" "0.000155868645421386"
"7" "Aberdeen (United Kingdom)" "0.000204912085332909"
"8" "Abidjan" "0.00668691907311936"
"9" "Aboshi" "1.99006487289211e-07"
"10" "Abu Al Kashib" "5.50682255351376e-09"
"11" "Abu Dhabi" "0.000147081450944109"
"12" "Abu Kammash" "5.39502807650472e-07"
"13" "Abu Qir" "9.95831725215668e-05"
"14" "Acajutla" "0.00145788544567005"
"15" "Adabiya" "0.000569658370071613"
"16" "Aeroskobing" "7.60066010130345e-10"
"17" "Agadir" "0.000212723252950409"
"18" "Aggersund" "4.63870492461993e-07"
"19" "Agioi Theodoroi" "0.000910435995227221"
"20" "Agotnes" "3.64767666005683e-06"
"21" "Ahmed Bin Rashid" "1.95191862772948e-05"
"22" "Ahus" "1.32349112680341e-05"
"23" "Ain Sukhna" "0.000674859626278557"
"24" "Ajman" "0.000140252765006288"
"25" "Ajos" "0.000207100059250842"
"26" "Akranes" "1.20776739723771e-05"
"27" "Akutan" "4.57274752186931e-05"
"28" "Ala" "6.32563925639928e-06"
"29" "Alameda" "0"
"30" "Al-Basra" "0.00113637066364436"
"31" "Alcanar" "1.09796283361829e-05"
"32" "Alcudia" "1.32730596669184e-06"
"33" "Alexandria (Egypt)" "0.00368646386588622"
"34" "Algeciras" "0.0246776973135251"
"35" "Algiers" "0.000662212384063832"
"36" "Al Hoceima" "6.60373166150308e-08"
"37" "Alicante" "0.000125384878413071"
"38" "Aliveri Bay" "4.99205218954524e-05"
"39" "Allinge" "0"
"40" "Almeria" "2.47829735504634e-05"
"41" "Al Rayyan" "2.72879823028926e-05"
"42" "Al Sokhna" "0.000396610998533276"
"43" "Altamira" "0.00522411799246569"
"44" "Amal" "5.97944390667848e-08"
"45" "Ambarli" "0.00061358869647532"
"46" "Amsterdam" "0.00983477239233799"
"47" "Amuay Bay" "0.002593456369129"
"48" "Anacortes" "0.000848342517283163"
"49" "Anchorage" "0.000270038208769807"
"50" "Andenes" "2.14500461304112e-06"
"51" "Annacis Island" "0.00293398334648354"
"52" "An-Ping" "0.000589766838873573"
"53" "Antifer" "0.00085126792710577"
"54" "Antwerp" "0.0534370487465845"
"55" "Ardrishaig" "2.20388913008129e-07"
"56" "Ardrossan (United Kingdom)" "3.20611970228146e-06"
"57" "Arendal" "1.67497502201464e-07"
"58" "Argentia" "3.21119043911189e-06"
"59" "Arguineguin" "5.00236688436573e-05"
"60" "Arica" "0.000373126845641836"
"61" "Arrecife de Lanzarote" "7.03826680209518e-05"
"62" "Aruba" "0.0146883375849652"
"63" "Arzanah Island" "7.03564440041049e-09"
"64" "Arzew" "1.62129693916935e-05"
"65" "Arzew El-Djedid" "3.22548133323552e-05"
"66" "Ashdod" "0.00222410199386214"
"67" "Ashkelon" "0.000544746470475865"
"68" "Asnaesvaerkets Havn" "0.000367555252897778"
"69" "Aspropyrgos" "0.000190211080785097"
"70" "Assaluyeh" "0.00125780370110662"
"71" "Assens" "2.59445290806681e-06"
"72" "Astoria" "0.00375691018186541"
"73" "Augusta" "0.000262866650243443"
"74" "Aukra" "2.93713942056684e-11"
"75" "Aviles" "0.00121882066661594"
"76" "Ayr" "8.34072794153595e-06"
"77" "Azov" "0.00013128779493643"
"78" "Backenswarft" "2.22044604925031e-16"
"79" "Backviken" "0"
"80" "Bahia Las Minas" "0.000393876729009701"
"81" "Bajo Grande Refinery" "0.00034851938976932"
"82" "Balboa" "0.0268866376184923"
"83" "Balchik" "1.63823894561155e-07"
"84" "Ballen" "1.33495783948279e-05"
"85" "Ballyvaghan" "4.12812024119802e-07"
"86" "Balsta" "9.08180642911205e-08"
"87" "Baltimore (USA)" "0.0123813979436206"
"88" "Baltiysk" "0.000383013284133926"
"89" "Bandar Abbas" "0.00673678251353305"
"90" "Bandar Imam Khomeini" "0.0023870001191777"
"91" "Bandar Lengeh" "2.37749675502386e-09"
"92" "Bandar Mahshahr" "0.000242266692080717"
"93" "Bandar Shahid Bahonar" "5.39298402737476e-05"
"94" "Bandar Taheri" "7.21354601662672e-06"
"95" "Bandholm" "2.1321578103084e-07"
"96" "Bandirma" "7.1271040862797e-05"
"97" "Banias" "0.000262846973751785"
"98" "Banjul" "2.54683757416885e-08"
"99" "Barber's Point Harbor" "0.000501034644299514"
"100" "Barber's Point Tesoro Hawaii" "0.00127709203656712"
"101" "Barbours Cut" "0.00699744260931323"
"102" "Barcadera" "9.22020116146394e-05"
"103" "Barcelona" "0.0241537886968352"
"104" "Barfleur" "0.000110601255767229"
"105" "Bar Harbor" "4.86744302740094e-05"
"106" "Barranquilla" "0.000406370833347269"
"107" "Barrow-in-Furness" "5.96061709523532e-06"
"108" "Barry" "2.48697901968908e-05"
"109" "Bartin" "6.35786598801591e-06"
"110" "Basse Indre" "2.51128420358793e-06"
"111" "Baton Rouge" "2.68834821662844e-05"
"112" "Batu Ampar" "0.000130192137906882"
"113" "Batumi" "0.000419904010483751"
"114" "Bayonne (France)" "8.74776127117727e-05"
"115" "Bayou Cosotte" "0.000773204468104249"
"116" "Bayport" "0.00374413869184431"
"117" "Bayuquan" "0.00186289023179598"
"118" "Beaumont" "0.00231585975361126"
"119" "Becancour" "0.000142934029944808"
"120" "Beihai" "9.53786124968659e-07"
"121" "Beilun" "0.0168960875968118"
"122" "Beirut" "0.00265409539946904"
"123" "Bekkeri" "2.09791956169436e-05"
"124" "Belfast" "0.000139102154219528"
"125" "Belgorod-Dnestrovsky" "2.0244087376442e-06"
"126" "Bellingham" "9.20555637817788e-06"
"127" "Bembridge" "0.00014819436561142"
"128" "Benete" "1.62148981134314e-05"
"129" "Benghazi" "0.000146935086806188"
"130" "Benicia" "0.00526539400584913"
"131" "Berdyansk" "6.71031845671521e-05"
"132" "Bergen" "0.000190084762658582"
"133" "Berghamn Eckero" "4.92161866816332e-13"
"134" "Bergkvara" "3.63078765830416e-07"
"135" "Bermeo" "1.3204440613146e-06"
"136" "Bilbao" "0.00493362715668388"
"137" "Bilboa" "0.00319187291601564"
"138" "Bird" "5.19098376428051e-06"
"139" "Bissau" "2.99689824498905e-05"
"140" "Bizerte" "4.95576884540494e-06"
"141" "Blaye" "2.38801786547338e-05"
"142" "Blexen" "0.000625984497975018"
"143" "Blyth" "0.000150034736196236"
"144" "Boca Grande (Venezuela)" "0.000667530395662808"
"145" "Bonny" "0.00093892240430149"
"146" "Bopec" "0.000971183371346496"
"147" "Borburata" "1.83586906676858e-07"
"148" "Bordeaux" "0.000629541455370419"
"149" "Borg Havniks" "0.000168770968911769"
"150" "Boston (United Kingdom)" "1.10880944231839e-05"
"151" "Boston (USA)" "0.00365486040057628"
"152" "Botany Bay" "0.013217403303411"
"153" "Botas" "2.45775620296707e-05"
"154" "Botlek" "0.0134907697939893"
"155" "Boulogne" "0.000255133509152405"
"156" "Bourgas" "0.000996746363031153"
"157" "Bouri" "6.64936141248074e-06"
"158" "Braefoot Bay" "0.000131198418223732"
"159" "Braila" "1.22046547013088e-06"
"160" "Brake" "0.00206104065927171"
"161" "Brass" "2.45190916966509e-05"
"162" "Braviken" "1.64881939312966e-05"
"163" "Braye" "1.46778802445624e-07"
"164" "Bremen" "0.00158384871669115"
"165" "Bremerhaven" "0.0309186259144614"
"166" "Breskens" "0"
"167" "Brest" "3.90964898734358e-05"
"168" "Brevik" "3.04448391874601e-05"
"169" "Bridgeport (Connecticut)" "3.3438990230561e-05"
"170" "Bridgwater" "7.49977857594786e-12"
"171" "Bridport" "8.17457213031503e-13"
"172" "Brightlingsea" "4.0701443226876e-07"
"173" "Brighton" "5.81577254396004e-05"
"174" "Brisbane" "0.0164400389370742"
"175" "Bristol" "0.00224956983067559"
"176" "Brixham" "5.56952928221222e-10"
"177" "Brodick" "1.53784762702003e-11"
"178" "Brofjorden" "0.00047019668385595"
"179" "Brownsville" "8.28680828898198e-05"
"180" "Brunsbuttel" "0.00492423823581378"
"181" "Brunswick" "0.00174623475600333"
"182" "Buenos Aires" "0.0171285635158536"
