"SpeciesID"	"SpecCode"	"Species"	"Genus"	"AphiaID"	"Class"	"Order"	"Family"	"Fresh"	"Brack"	"Saltwater"	"DemersPelag"	"AnaCat"
"1"	"Fis-8344"	10	"Alectis indica"	"Alectis"	"401562"	"Actinopterygii"	"Perciformes"	"Carangidae"	0	1	1	"reef-associated"	NA
"2"	"Fis-29402"	100	"Gasterochisma melampus"	"Gasterochisma"	"219709"	"Actinopterygii"	"Perciformes"	"Scombridae"	0	0	1	"pelagic-oceanic"	"oceanodromous"
"3"	"Fis-23672"	1000	"Oligoplites saliens"	"Oligoplites"	"276359"	"Actinopterygii"	"Perciformes"	"Carangidae"	0	1	1	"benthopelagic"	NA
"4"	"Fis-27600"	10006	"Wheelerigobius maltzani"	"Wheelerigobius"	"283162"	"Actinopterygii"	"Perciformes"	"Gobiidae"	0	1	1	"demersal"	NA
"5"	"Fis-27602"	10008	"Dormitator lebretonis"	"Dormitator"	"276409"	"Actinopterygii"	"Perciformes"	"Eleotridae"	1	1	1	"demersal"	"amphidromous"
"6"	"Fis-27603"	10009	"Bostrychus africanus"	"Bostrychus"	"279942"	"Actinopterygii"	"Perciformes"	"Eleotridae"	1	1	1	"demersal"	"amphidromous"
"7"	"Fis-23673"	1001	"Oligoplites saurus"	"Oligoplites"	"159645"	"Actinopterygii"	"Perciformes"	"Carangidae"	0	1	1	"reef-associated"	NA
"8"	"Fis-33751"	10013	"Eleotris melanosoma"	"Eleotris"	"219353"	"Actinopterygii"	"Perciformes"	"Eleotridae"	1	1	1	"demersal"	"amphidromous"
"9"	"Fis-27605"	10016	"Hypseleotris cyprinoides"	"Hypseleotris"	"278158"	"Actinopterygii"	"Perciformes"	"Eleotridae"	1	1	1	"demersal"	"amphidromous"
"10"	"Fis-23749"	1002	"Pseudocaranx dentex"	"Pseudocaranx"	"126812"	"Actinopterygii"	"Perciformes"	"Carangidae"	0	1	1	"reef-associated"	NA
"11"	"Fis-27612"	10023	"Ophiocara porocephala"	"Ophiocara"	"219359"	"Actinopterygii"	"Perciformes"	"Eleotridae"	1	1	1	"demersal"	"amphidromous"
"12"	"Fis-23805"	1004	"Selene vomer"	"Selene"	"159649"	"Actinopterygii"	"Perciformes"	"Carangidae"	0	1	1	"demersal"	NA
"13"	"Fis-23806"	1005	"Seriola dumerili"	"Seriola"	"126816"	"Actinopterygii"	"Perciformes"	"Carangidae"	0	0	1	"reef-associated"	"oceanodromous"
"14"	"Fis-23807"	1006	"Seriola fasciata"	"Seriola"	"126817"	"Actinopterygii"	"Perciformes"	"Carangidae"	0	0	1	"benthopelagic"	NA
"15"	"Fis-22208"	1007	"Seriola rivoliana"	"Seriola"	"126818"	"Actinopterygii"	"Perciformes"	"Carangidae"	0	0	1	"reef-associated"	NA
"16"	"Fis-23808"	1008	"Seriola zonata"	"Seriola"	"159650"	"Actinopterygii"	"Perciformes"	"Carangidae"	0	0	1	"benthopelagic"	NA
"17"	"Fis-22211"	1009	"Trachinotus cayennensis"	"Trachinotus"	"273289"	"Actinopterygii"	"Perciformes"	"Carangidae"	0	1	1	"demersal"	NA
"18"	"Fis-22770"	101	"Alosa alosa"	"Alosa"	"126413"	"Actinopterygii"	"Clupeiformes"	"Clupeidae"	1	1	1	"pelagic-neritic"	"anadromous"
"19"	"Fis-23864"	1010	"Trachinotus falcatus"	"Trachinotus"	"367285"	"Actinopterygii"	"Perciformes"	"Carangidae"	0	1	1	"reef-associated"	NA
"20"	"Fis-27674"	10106	"Nemadactylus macropterus"	"Nemadactylus"	"281653"	"Actinopterygii"	"Perciformes"	"Cheilodactylidae"	0	0	1	"demersal"	NA
"21"	"Fis-22213"	1011	"Trachinotus goodei"	"Trachinotus"	"159654"	"Actinopterygii"	"Perciformes"	"Carangidae"	0	0	1	"reef-associated"	NA
